id,category_id,product_id
1,1,1
2,1,2
3,1,3
4,1,4
5,1,5
6,15,65
7,15,63
8,15,64
9,14,116
10,14,117
11,14,112
12,14,113
13,14,114
14,14,115
15,14,118
16,14,119
17,14,120
18,13,102
19,13,103
20,13,104
21,13,105
22,13,106
23,13,107
24,13,108
25,13,109
26,13,110
27,13,111
28,12,96
29,12,97
30,12,98
31,12,99
32,12,100
33,12,101
34,12,92
35,12,93
36,12,94
37,12,95
38,11,83
39,11,84
40,11,85
41,11,86
42,11,87
43,11,88
44,11,90
45,11,91
46,10,75
47,10,76
48,10,77
49,10,78
50,10,79
51,10,82
52,10,80
53,9,67
54,9,68
55,9,69
56,9,70
57,9,71
58,9,72
59,9,73
60,9,74
61,8,53
62,8,54
63,8,55
64,8,56
65,8,57
66,8,58
67,8,59
68,8,60
69,8,61
70,8,62
71,7,45
72,7,46
73,7,47
74,7,48
75,7,49
76,7,50
77,7,51
78,7,52
79,6,37
80,6,38
81,6,39
82,6,40
83,6,41
84,6,42
85,6,43
86,6,44
87,5,32
88,5,33
89,5,34
90,5,35
91,5,27
92,5,28
93,5,29
94,5,30
95,5,31
96,4,17
97,4,18
98,4,19
99,4,20
100,4,21
101,4,22
102,4,23
103,4,24
104,4,25
105,4,26
106,3,11
107,3,12
108,3,13
109,3,15
110,3,16
111,2,6
112,2,7
113,2,8
114,2,9
115,2,10
116,1,14
